SALTA, -24.224000 -66.340000 4000 
PSGCX, -19.597167 -70.123000 966 
MNMCX, -19.131000 -69.595500 2304 
HMBCX, -20.278167 -69.887833 1152 
PATCX, -20.820667 -70.152833 832 
SALT, -24.224000 -66.340000 4000 
PSGC, -19.597167 -70.123000 966 
MNMC, -19.131000 -69.595500 2304 
HMBC, -20.278167 -69.887833 1152 
PATC, -20.820667 -70.152833 832 
TCP, -22.104333 -70.213833 55 
HYO0, -12.420000 -75.321000 3330 
YCA0, -15.611000 -74.552000 80 
QLK0, -16.715000 -72.427000 85 
TOQ0, -17.304000 -70.643000 2586 
GUA0, -13.998000 -75.790000 690 
HYO, -12.420000 -75.321000 3330 
YCA, -15.611000 -74.552000 80 
QLK, -16.715000 -72.427000 85 
TOQ, -17.304000 -70.643000 2586 
GUA, -13.998000 -75.790000 690 
PAYG, -0.674000 -90.285833 196 
OTAV, -0.237667 -90.285833 3492 
AP01, -18.370833 -70.342000 21 
AP02, -18.843000 -69.143667 4339 
BO03, -34.496167 -71.961333 168 
BO04, -33.988833 -70.609000 687 
TA01, -20.565667 -70.180667 75 
TA02, -20.270500 -70.131167 86 
AF01, -22.952000 -68.178833 2249 
RPN, -27.127000 -9.334000 110 
LR02, -39.806000 -73.250500 67 
LR03, -39.632167 -72.345667 293 
LR04, -39.880167 -73.425833 139 
LR05, -40.230000 -72.004333 203 
BI05, -36.747833 -73.190333 99 
LL01, -42.378667 -72.412667 62 
LL02, -43.190667 -71.848333 368 
LL03, -41.138333 -72.403500 250 
LL04, -40.909833 -72.408333 285 
LL05, -41.405333 -73.474333 212 
LL06, -42.215167 -73.628333 180 
LL07, -42.832333 -73.477833 55 
AY01, -44.420833 -72.648167 9 
AY02, -46.483833 -73.194667 75 
AY03, -47.253000 -72.409167 174 
VA02, -27.160333 -9.434667 49 
VA01, -33.022833 -71.647333 37 
VA03, -32.763667 -70.550833 1053 
VA04, -33.642667 -78.829833 117 
S3, -33.818167 -78.857000  
N3, -33.441667 -78.929000  
VA05, -33.657167 -71.614333 80 
VA06, -32.561167 -71.297167 122 
MT02, -33.259167 -71.137667 338 
MT01, -33.864167 -71.250833 310 
MT09, -33.776167 -70.988667 1371 
MT04, -33.404500 -70.137167 2083 
MT08, -33.445833 -70.017167 2085 
MT10, -33.272833 -70.537167 1420 
MT12, -33.732667 -70.548667 727 
MT13, -33.743500 -70.286167 1198 
MT14, -33.395667 -70.536167 855 
MT15, -33.599333 -70.506167 784 
MT16, -33.428500 -70.523333 525 
MT18, -33.463167 -70.664333 680 
BI02, -36.663500 -71.273167 913 
BO01, -34.391833 -71.084833 262 
BO02, -34.792500 -70.781500 886 
BO06, -33.952500 -71.824667 168 
LC01, -38.897500 -71.876000 471 
LC02, -38.791833 -73.394667 67 
LC09, -39.486167 -72.153167 213 
U14B, -36.857833 -73.079833 27 
3A14, -36.857833 -73.079833 27 
U65B, -34.964167 -71.788667 66 
U69B, -34.370667 -71.179833 163 
U73B, -33.916333 -71.419833 186 
AYCH, -45.401667 -72.694000 22 
MACH, -22.195500 -69.757667 2003 
YJA, -22.175833 -65.514167 3510 
SLA, -24.721167 -65.504500 1520 
AHML, -26.784667 -65.334500 670 
CYA, -28.441667 -65.802000 540 
VCA, -28.736333 -68.205500 1500 
RTLL, -31.329167 -69.474833 690 
TCA, -31.337000 -64.595500 1035 
USHA, -54.832000 -68.433333 107 
CHFR, -45.460500 -72.820000 31 
OHGG, -48.468167 -72.559833 275 
CHPI, -34.390333 -72.003333 20 
ARCH, -18.490667 -70.296500 58 
ARE, -16.462167 -71.491333 2452 
PECH, -22.597833 -69.674333 1463 
TAIQ, -20.243833 -70.140333 90 
TOCH, -22.093500 -70.200833 45 
CHTN, -42.928167 -72.715667 5 
HUNY, -42.379000 -72.414333 21 
QLLN, -43.104500 -73.622333 129 
FUTA, -43.188833 -71.852500 354 
AYSN, -45.404167 -72.688000 14 
STAB, -42.856000 -72.792167 100 
STB, -42.856000 -72.792167 100 
PUMA, -42.605000 -72.580500 100 
PUM, -42.605000 -72.580500 100 
MENT, -45.408333 -72.970333 55 
PUEL, -41.663667 -72.296000 25 
VNVI, -39.309167 -72.161333 310 
MELI, -39.179333 -71.717167 800 
CHOS, -39.838000 -72.082667 150 
RANC, -40.338000 -72.477500 150 
RAN, -40.333333 -72.471667 470 
LON, -38.467667 -71.573833 945 
CHO, -39.834500 -72.080167 150 
CAL, -22.458667 -68.930167 2300 
CALA, -22.458667 -68.930167 2300 
MECH, -23.103833 -70.448333 18 
MICH, -22.678000 -70.187500 769 
PB18, -17.589500 -69.480000 4104 
PB19, -23.904833 -69.290667 2450 
PB16, -18.335167 -69.507667 4480 
PB12, -18.614000 -70.328167 908 
PB11, -19.761000 -69.655833 1410 
PB08, -20.141167 -69.153333 3070 
PB01, -21.043167 -69.487333 900 
PB02, -21.319667 -69.896000 1015 
PB07, -21.726667 -69.886167 1560 
PB09, -21.796333 -69.242000 1530 
PB03, -22.048500 -69.753167 1460 
PB04, -22.333667 -70.149167 1520 
PB06, -22.705833 -69.571833 1440 
PB05, -22.852833 -70.202333 1150 
PB15, -23.208333 -69.471000 1830 
PB10, -23.513500 -70.554000 250 
PB14, -24.626000 -70.403833 2620 
PX02, -18.963333 -70.198167 990 
PX03, -20.403500 -69.630833 990 
PX06, -23.511500 -70.249500 700 
LVC, -22.612833 -68.911333 2195 
PB13, -18.335333 -69.501000 4853 
LASZ, -23.348000 -67.782000 4125 
LLCH, -33.610500 -71.618167 30 
BOR2, -33.610500 -71.618167 30 
PR35, -33.610500 -71.618167 30 
PR27, -33.610500 -71.618167 30 
IQU, -20.214000 -70.137667 85 
IQUI, -20.214000 -70.137667 85 
PICA, -20.490000 -69.320000 1366 
PIS, -17.642833 -71.342167 47 
VICH, -31.911167 -71.510333 43 
CPN, -24.626000 -70.404000 2600 
SOT, -19.594000 -69.215000 3416 
ZAP, -19.645000 -69.976000 1260 
PAM, -19.876000 -69.815000 1181 
TAR, -19.912000 -69.501000 1570 
PAN, -18.613667 -70.030667 1220 
PUQ, -18.200667 -69.775500 3600 
MIN, -18.383500 -69.370500 4300 
ATA, -19.300333 -70.138000 1490 
CAM, -18.616667 -70.323000 915 
CAR, -18.716500 -69.657833 2880 
MIN, -18.383500 -69.370500 4300 
ATA, -19.300333 -70.138000 1490 
CAM, -18.616667 -70.323000 915 
CAR, -18.716500 -69.657833 2880 
CHA, -18.334833 -69.500667 4750 
GAR, -18.769167 -69.921167 1530 
POC, -18.454833 -70.108167 1100 
QUI, -19.330833 -69.528167 2550 
VIC, -18.956000 -70.065167 1235 
VLP, -33.025833 -71.641167 88 
LQT, -33.814667 -70.211833 1400 
YECH, -33.665333 -70.083333 2577 
LAV, -33.087333 -71.746167 60 
LACH, -33.451833 -70.530833 690 
TMU, -38.734333 -72.600667 100 
TMUZ, -38.718000 -72.538000 100 
TMUZ, -38.718000 -72.538000 100 
TMUN, -38.718000 -72.538000 100 
TMUE, -38.718000 -72.538000 100 
PAIZ, -38.874000 -72.646000 980 
PAIN, -38.874000 -72.646000 980 
PAIE, -38.874000 -72.646000 980 
PUCZ, -39.283000 -71.986000 220 
PUCN, -39.283000 -71.986000 220 
PUCE, -39.283000 -71.986000 220 
CHOZ, -39.835000 -72.080000 150 
CBUZ, -41.246000 -72.746000 250 
CBUN, -41.246000 -72.746000 250 
CBUE, -41.246000 -72.746000 250 
RANZ, -40.333000 -72.472000 470 
RANN, -40.333000 -72.472000 470 
RANE, -40.333000 -72.472000 470 
PILZ, -42.558000 -72.492000 10 
PILN, -42.558000 -72.492000 10 
PILE, -42.558000 -72.492000 10 
MAVZ, -46.061000 -72.629000 774 
MAVN, -46.061000 -72.629000 774 
MAVE, -46.061000 -72.629000 774 
AYSZ, -45.378000 -72.688000 60 
AYSN, -45.378000 -72.688000 60 
AYSE, -45.378000 -72.688000 60 
TRQA, -38.056667 -61.979500 501 
PSCH, -38.799667 -73.391833 85 
FUTA, -43.188833 -71.852500 354 
CHRN, -47.249333 -72.590333 198 
CPP, -27.354167 -70.351167 384 
CAC, -22.479833 -69.026167 2000 
CFA, -31.604167 -68.236833 621 
CYA, -28.440000 -65.789667 567 
VCA, -28.737833 -68.201000 1500 
RFA, -34.769000 -68.459500 850 
MDZ, -32.883333 -68.850000 826 
VLV, -39.787333 -73.272500 12 
